,Filename,Predicted_Label
0,5370.jpg,Tomato
1,4876.jpg,Onion White
2,4929.jpg,Blueberry
3,4865.jpg,Pepper Red
4,5182.jpg,Kiwi
5,5104.jpg,Pepper Red
6,4882.jpg,Peach
7,5249.jpg,Mango
8,4973.jpg,Peach
9,5272.jpg,Watermelon
10,5419.jpg,Grape Blue
11,4734.jpg,Kiwi
12,4940.jpg,Avocado
13,5338.jpg,Pepper Red
14,5155.jpg,Blueberry
15,5292.jpg,Cherry
16,5200.jpg,Clementine
17,5295.jpg,Avocado
18,5122.jpg,Banana
19,5251.jpg,Raspberry
20,4969.jpg,Cantaloupe
21,5199.jpg,Pepper Red
22,4941.jpg,Onion White
23,5080.jpg,Raspberry
24,4957.jpg,Blueberry
25,5186.jpg,Pepper Green
26,5162.jpg,Lemon
27,5280.jpg,Apricot
28,4672.jpg,Pepper Green
29,5128.jpg,Plum
30,5079.jpg,Clementine
31,5190.jpg,Papaya
32,5003.jpg,Clementine
33,4917.jpg,Watermelon
34,5347.jpg,Passion Fruit
35,4691.jpg,Lemon
36,4764.jpg,Pepper Red
37,5181.jpg,Tomato
38,4667.jpg,Pear
39,4921.jpg,Papaya
40,5346.jpg,Peach
41,5178.jpg,Pepper Green
42,5384.jpg,Grape Blue
43,5231.jpg,Passion Fruit
44,4767.jpg,Onion White
45,4806.jpg,Strawberry
46,5262.jpg,Watermelon
47,5335.jpg,Passion Fruit
48,4998.jpg,Cantaloupe
49,5210.jpg,Cantaloupe
50,5049.jpg,Banana
51,4754.jpg,Clementine
52,4930.jpg,Watermelon
53,5135.jpg,Cantaloupe
54,4771.jpg,Strawberry
55,4756.jpg,Lemon
56,5366.jpg,Limes
57,5111.jpg,Cucumber Ripe
58,4720.jpg,Raspberry
59,5334.jpg,Plum
60,5235.jpg,Cherry
61,5137.jpg,Limes
62,4932.jpg,Mango
63,5143.jpg,Pear
64,5250.jpg,Papaya
65,4911.jpg,Mango
66,5159.jpg,Tomato
67,5127.jpg,Pomegranate
68,4745.jpg,Raspberry
69,4706.jpg,Grape Blue
70,5109.jpg,Banana
71,4760.jpg,Orange
72,5308.jpg,Corn
73,5325.jpg,Cucumber Ripe
74,4751.jpg,Pineapple
75,5189.jpg,Pepper Green
76,5309.jpg,Raspberry
77,5074.jpg,Cactus fruit
78,5410.jpg,Cantaloupe
79,4983.jpg,Potato Red
80,4681.jpg,Tomato
81,5296.jpg,Tomato
82,4821.jpg,Papaya
83,4959.jpg,Blueberry
84,5381.jpg,Tomato
85,4750.jpg,Lemon
86,4805.jpg,Tomato
87,4728.jpg,Cucumber Ripe
88,5087.jpg,Strawberry
89,5311.jpg,Mango
90,4964.jpg,Cantaloupe
91,5105.jpg,Pepper Red
92,5040.jpg,Lemon
93,4871.jpg,Pineapple
94,4634.jpg,Pepper Red
95,5252.jpg,Onion White
96,5110.jpg,Cucumber Ripe
97,5036.jpg,Strawberry
98,4864.jpg,Cantaloupe
99,4875.jpg,Cherry
100,4888.jpg,Cherry
101,5075.jpg,Pomegranate
102,5130.jpg,Lemon
103,5134.jpg,Pepper Red
104,5046.jpg,Strawberry
105,5288.jpg,Papaya
106,4686.jpg,Onion White
107,5147.jpg,Grape Blue
108,5041.jpg,Apricot
109,4854.jpg,Apple Braeburn
110,4658.jpg,Mango
111,5298.jpg,Raspberry
112,4869.jpg,Apple Braeburn
113,4920.jpg,Papaya
114,5195.jpg,Tomato
115,4632.jpg,Pineapple
116,5026.jpg,Grape Blue
117,4663.jpg,Grape Blue
118,4956.jpg,Mango
119,5378.jpg,Lemon
120,4647.jpg,Plum
121,4931.jpg,Watermelon
